gmina id,gmina name,latitude,longitude,avg income,% PiS Votes,registered voters,ballots counted,powiat,wojewodztwo
2814093,Olsztynek,53.56269323,20.35111209,547,24.29657014,10791,4869,olszty?ski,warmi?sko-mazurskie
1201063,Nowy Wi?nicz,49.89998016,20.46910551,663,58.53532749,10785,5817,boche?ski,ma?opolskie
2402102,Wilkowice,49.76261007,19.08809524,1195,31.43005901,10770,5762,bielski,?l?skie
1604043,Wo?czyn,51.04192586,18.05479519,449,41.83918065,10767,4589,kluczborski,opolskie
1820022,Gorzyce,50.66832969,21.83296098,592,31.90467393,10767,5413,tarnobrzeski,podkarpackie
1206092,Mogilany,49.94370854,19.8998573,1478,40.88895919,10758,6322,krakowski,ma?opolskie
1408052,Wieliszew,52.44401226,20.88301405,1151,31.43002372,10749,5902,legionowski,mazowieckie
3015063,Zb?szy?,52.2663006,15.96324084,801,25.4496747,10748,5226,nowotomyski,wielkopolskie
2214062,Tczew,54.08361426,18.69452906,715,29.38458695,10731,5411,tczewski,pomorskie
1813102,?urawica,49.84340189,22.77182544,491,48.33149982,10718,5454,przemyski,podkarpackie
1006022,Andrespol,51.72439157,19.64787773,969,36.58366707,10717,5743,?¢dzki wschodni,?¢dzkie
1817073,Zag¢rz,49.44181274,22.20854978,491,55.8281042,10710,5259,sanocki,podkarpackie
3003103,Witkowo,52.44771705,17.78848244,646,34.65040058,10704,5492,gnie?nie?ski,wielkopolskie
1421052,Nadarzyn,52.08316945,20.7990596,1831,27.84636488,10700,6561,pruszkowski,mazowieckie
3012033,Ko?min Wielkopolski,51.83822077,17.41447529,712,29.63532513,10695,4552,krotoszy?ski,wielkopolskie
1610023,G?og¢wek,50.33347242,17.86524973,512,23.06265458,10694,4852,prudnicki,opolskie
407053,Janikowo,52.72358047,18.09835041,665,28.26045078,10691,5191,inowroc?awski,kujawsko-pomorskie
1204073,Szczucin,50.29602573,21.09563548,340,53.45719211,10675,5221,d?browski,ma?opolskie
2604192,Zagna?sk,51.00339785,20.65566418,758,51.952,10671,6250,kielecki,?wi?tokrzyskie
209011,Chojn¢w,51.27045048,15.93466066,737,33.41283091,10668,4193,legnicki,dolno?l?skie
602032,Bi?goraj,50.54872256,22.69275571,369,50.25,10651,5200,bi?gorajski,lubelskie
2404013,Blachownia,50.79341641,18.94487554,732,27.94921531,10650,5671,cz?stochowski,?l?skie
1811052,Mielec,50.29197402,21.45727734,774,51.82163188,10644,5270,mielecki,podkarpackie
1804042,Jaros?aw,50.04212562,22.70095506,452,57.88936518,10576,4899,jaros?awski,podkarpackie
1803032,Czarna,50.08868068,21.2543344,479,47.38893219,10567,5132,d?bicki,podkarpackie
410013,Kcynia,53.00166723,17.47180393,404,22.19209915,10556,5164,nakielski,kujawsko-pomorskie
417011,W?brze?no,53.28161559,18.94051487,720,18.66771468,10534,5089,w?brzeski,kujawsko-pomorskie
415092,Z?awie? Wielka,53.10133861,18.34157561,860,23.86038528,10527,5243,toru?ski,kujawsko-pomorskie
1609073,Niemodlin,50.65018732,17.59759047,594,32.24425417,10511,4438,opolski,opolskie
3009063,K?odawa,52.26545657,18.88123444,531,39.44199117,10505,4982,kolski,wielkopolskie
1803023,Brzostek,49.90157583,21.43217966,302,63.34758705,10495,4911,d?bicki,podkarpackie
2403072,Golesz¢w,49.72572278,18.72007813,777,21.38236925,10461,5411,cieszy?ski,?l?skie
214083,Twardog¢ra,51.36804583,17.45081964,913,29.55564615,10437,4906,ole?nicki,dolno?l?skie
1014093,Warta,51.71551183,18.64079471,370,45.85186618,10409,5171,sieradzki,?¢dzkie
403062,Osielsko,53.21603714,18.04155131,2351,19.64141496,10393,6191,bydgoski,kujawsko-pomorskie
1433011,W?gr¢w,52.40714667,22.03460227,1201,33.22446017,10390,5511,w?growski,mazowieckie
2417102,Radziechowy-Wieprz,49.63072987,19.1536854,628,56.98215671,10390,5156,?ywiecki,?l?skie
1213033,Che?mek,50.08818095,19.255734,870,35.00660502,10386,5299,o?wi?cimski,ma?opolskie
413043,Wi?cbork,53.35177541,17.43982579,464,37.95350858,10381,4603,s?pole?ski,kujawsko-pomorskie
2404132,Poczesna,50.72438721,19.13317744,858,26.89205423,10376,5827,cz?stochowski,?l?skie
2602063,S?dzisz¢w,50.55620892,20.05848699,613,34.68126435,10374,5663,j?drzejowski,?wi?tokrzyskie
1607073,Paczk¢w,50.44640151,17.02094824,489,28.51029142,10371,4907,nyski,opolskie
1203013,Alwernia,50.0667919,19.52930821,831,36.56072019,10341,5443,chrzanowski,ma?opolskie
1601043,Lewin Brzeski,50.76181562,17.62683171,552,27.14667964,10339,4111,brzeski,opolskie
1217032,Bukowina Tatrza?ska,49.2993607,20.09253358,444,63.57556844,10331,4486,tatrza?ski,ma?opolskie
2208042,Nowa Wie? L?borska,54.5711639,17.70992548,594,32.34237829,10320,5012,l?borski,pomorskie
223073,Sob¢tka,50.91554407,16.75616375,823,30.18609207,10310,5105,wroc?awski,dolno?l?skie
214062,Ole?nica,51.2165774,17.45365449,707,30.25799794,10305,4845,ole?nicki,dolno?l?skie
1416072,Ostr¢w Mazowiecka,52.81003789,21.86796821,487,55.3312946,10304,4905,ostrowski,mazowieckie
3004033,Krobia,51.76332464,16.98637114,563,41.93401593,10286,4395,gosty?ski,wielkopolskie
1423063,Przysucha,51.33856189,20.61914125,650,51.28510638,10273,5875,przysuski,mazowieckie
2403122,Zebrzydowice,49.8638233,18.60542276,855,40.94173982,10260,5012,cieszy?ski,?l?skie
1009013,Dzia?oszyn,51.11831501,18.85590661,992,48.18379949,10259,5506,paj?cza?ski,?¢dzkie
1010062,Moszczenica,51.51151013,19.69107761,638,45.9329257,10252,5397,piotrkowski,?¢dzkie
1805092,Sko?yszyn,49.76154991,21.32547485,454,57.48015873,10248,5040,jasielski,podkarpackie
2403113,Strumie?,49.88470458,18.74116902,871,39.69521045,10244,5512,cieszy?ski,?l?skie
1425062,Jedlnia-Letnisko,51.41569018,21.33564496,695,47.68235088,10240,5717,radomski,mazowieckie
2207043,Prabuty,53.74242623,19.19136376,418,28.0778032,10187,4370,kwidzy?ski,pomorskie
216013,Chocian¢w,51.41865918,15.95813049,986,39.81594027,10167,5759,polkowicki,dolno?l?skie
3214102,Stargard,53.34219456,15.04284916,534,36.28888889,10162,4500,stargardzki,zachodniopomorskie
1020083,Stryk¢w,51.90693997,19.60529107,729,30.27522936,10161,5559,zgierski,?¢dzkie
1814053,Ka?czuga,49.96053012,22.39178241,407,50.95995612,10158,5469,przeworski,podkarpackie
1809011,Lubacz¢w,50.15492934,23.11223203,567,37.43262128,10145,5009,lubaczowski,podkarpackie
2402072,Kozy,49.82829111,19.14006058,1064,34.50240342,10142,5617,bielski,?l?skie
2401073,Siewierz,50.47227172,19.21418386,969,26.81826072,10132,5761,b?dzi?ski,?l?skie
219083,?ar¢w,50.96045305,16.52332363,671,30.39735099,10086,4530,?widnicki,dolno?l?skie
1021011,Brzeziny,51.80218739,19.74645438,784,34.86701611,10077,5151,brzezi?ski,?¢dzkie
